x,y,width,height
1942,1572,36,107
223,1572,35,107
707,1572,36,107
1746,1571,35,107
362,1573,104,104
1556,1573,46,104
1973,1573,113,104
2081,1573,104,104
1599,1573,46,104
275,1573,35,104
1452,1573,35,104
1642,1573,104,104
974,1573,121,104
1094,1573,35,104
869,1573,104,104
604,1573,35,104
1196,1573,120,55
702,1063,113,108
589,1063,113,108
347,1064,35,107
520,1064,35,107
1322,1063,113,108
2111,1063,113,108
381,1064,36,107
554,1063,36,107
1722,1063,44,107
997,1070,43,100
1763,1063,46,107
1912,1063,44,107
2444,1063,36,107
1999,1065,113,104
1209,1065,113,104
2531,1065,104,104
2739,1065,104,104
243,1065,104,104
2635,1065,104,104
834,556,36,107
355,556,36,107
800,556,35,107
1042,558,35,104
869,555,46,107
390,555,35,107
650,557,35,104
423,557,117,55
535,557,117,55
